time,open,high,low,close,tick_volume,spread,real_volume
2026-01-27 08:37:00,5084.76,5084.82,5080.89,5082.13,508,12,0
2026-01-27 08:38:00,5082.1,5083.44,5081.69,5082.77,369,12,0
2026-01-27 08:39:00,5082.77,5084.0,5082.15,5083.07,433,12,0
2026-01-27 08:40:00,5083.06,5086.39,5083.06,5086.18,419,14,0
2026-01-27 08:41:00,5086.2,5087.89,5085.95,5087.0,560,12,0
2026-01-27 08:42:00,5086.99,5088.52,5086.99,5088.28,397,12,0
2026-01-27 08:43:00,5088.28,5088.31,5084.81,5085.36,439,12,0
2026-01-27 08:44:00,5085.36,5086.15,5085.23,5085.82,340,12,0
2026-01-27 08:45:00,5085.83,5089.37,5085.45,5089.02,539,12,0
2026-01-27 08:46:00,5089.04,5091.12,5089.04,5089.32,414,12,0
2026-01-27 08:47:00,5089.28,5092.62,5088.9,5092.35,562,17,0
2026-01-27 08:48:00,5092.35,5093.37,5091.07,5091.07,537,15,0
2026-01-27 08:49:00,5091.07,5092.52,5089.49,5089.49,562,12,0
2026-01-27 08:50:00,5089.48,5092.31,5088.91,5092.0,548,15,0
2026-01-27 08:51:00,5091.97,5094.02,5091.42,5091.48,612,12,0
2026-01-27 08:52:00,5091.49,5091.86,5089.52,5091.66,551,14,0
2026-01-27 08:53:00,5091.7,5093.19,5090.63,5090.63,445,16,0
2026-01-27 08:54:00,5090.62,5091.2,5089.11,5089.11,595,14,0
2026-01-27 08:55:00,5088.89,5088.89,5082.06,5083.06,879,12,0
2026-01-27 08:56:00,5083.06,5085.2,5082.25,5084.32,783,12,0
2026-01-27 08:57:00,5084.32,5086.32,5084.25,5085.96,593,12,0
2026-01-27 08:58:00,5085.98,5088.08,5085.73,5087.13,544,13,0
2026-01-27 08:59:00,5087.13,5087.65,5085.49,5085.78,644,12,0
2026-01-27 09:00:00,5085.78,5087.79,5082.53,5083.98,938,12,0
2026-01-27 09:01:00,5084.03,5086.78,5083.16,5085.5,549,12,0
2026-01-27 09:02:00,5085.48,5086.1,5083.85,5084.43,512,12,0
2026-01-27 09:03:00,5084.41,5086.45,5083.93,5086.03,459,12,0
2026-01-27 09:04:00,5085.98,5087.4,5085.31,5085.66,488,12,0
2026-01-27 09:05:00,5085.66,5088.49,5084.77,5087.9,481,12,0
2026-01-27 09:06:00,5087.9,5089.79,5086.94,5089.52,432,12,0
2026-01-27 09:07:00,5089.52,5090.54,5088.05,5088.44,432,12,0
2026-01-27 09:08:00,5088.44,5093.04,5088.43,5092.69,559,12,0
2026-01-27 09:09:00,5092.69,5094.7,5092.33,5093.44,613,12,0
2026-01-27 09:10:00,5093.45,5093.7,5088.47,5089.38,625,12,0
2026-01-27 09:11:00,5089.51,5091.81,5088.88,5091.11,400,12,0
2026-01-27 09:12:00,5091.11,5091.32,5086.31,5086.5,609,12,0
2026-01-27 09:13:00,5086.5,5088.92,5086.48,5087.25,467,12,0
2026-01-27 09:14:00,5087.25,5087.67,5084.73,5085.29,495,12,0
2026-01-27 09:15:00,5085.29,5090.04,5084.52,5087.85,700,12,0
2026-01-27 09:16:00,5087.85,5087.95,5084.21,5085.23,654,12,0
2026-01-27 09:17:00,5085.23,5090.07,5084.29,5089.65,460,12,0
2026-01-27 09:18:00,5089.64,5090.7,5087.9,5090.04,622,12,0
2026-01-27 09:19:00,5090.04,5090.09,5084.59,5085.93,470,12,0
2026-01-27 09:20:00,5085.93,5086.98,5085.48,5086.12,379,12,0
2026-01-27 09:21:00,5086.08,5086.85,5085.13,5086.62,284,12,0
2026-01-27 09:22:00,5086.61,5089.97,5085.29,5089.85,930,12,0
2026-01-27 09:23:00,5089.85,5090.31,5088.24,5089.16,516,14,0
2026-01-27 09:24:00,5089.16,5090.3,5087.27,5087.36,407,12,0
